track_id,spotify_playlists,spotify_charts,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,streams
628,755,4,22,3,0,0,0,200972675
629,254,0,0,4,23,0,0,71014967
630,6308,5,114,15,63,0,2,560222750
631,51979,15,306,99,0,2,120,1806617704
632,246,0,2,12,10,0,0,77337771
633,6556,0,93,5,67,1,0,528544703
634,5728,0,85,87,179,0,12,865640097
635,16636,12,368,155,0,6,121,2159346687
636,461,0,10,56,17,0,0,211372494
637,4893,4,143,24,110,0,70,651732901
638,1801,2,77,134,74,0,2,608334048
639,12043,0,209,54,710,0,18,863756573
640,4731,0,141,12,78,0,0,797402345
641,22923,0,78,46,0,1,0,1695712020
642,9974,2,272,67,0,1,19,1759567999
643,1560,0,72,0,0,0,0,223319934
644,620,0,17,3,3,0,0,54937991
645,3270,0,89,21,65,0,0,226897599
646,580,0,24,92,93,0,0,258316038
647,3406,16,61,23,70,1,0,596152090
648,903,0,30,26,15,0,0,177129919
649,6809,28,151,102,175,5,29,716591492
